Label,Method_Over,Model,MinorityMultiplier,APPLY_TOMEK,F1_mean,F1_std,BAS_mean,BAS_std,GM_mean,GM_std
Product issues,SMOTE,RandomForest,1.3,False,0.0,0.0,0.498932384341637,0.001423487544483981,0.0,0.0
Product issues,SMOTE,Xgboost,1.3,False,0.0,0.0,0.4982179528250009,0.0011254862254837833,0.0,0.0
Product issues,ADASYN,RandomForest,1.3,False,0.0,0.0,0.49857006550105726,0.001333334925370027,0.0,0.0
Product issues,ADASYN,Xgboost,1.3,False,0.0,0.0,0.49857006550105726,0.001333334925370027,0.0,0.0
Product issues,RandomOverSampler,RandomForest,1.3,False,0.0,0.0,0.49857006550105726,0.001333334925370027,0.0,0.0
Product issues,RandomOverSampler,Xgboost,1.3,False,0.0,0.0,0.497150337166638,0.002412507629766072,0.0,0.0
Skin and subcutaneous tissue disorders,SMOTE,RandomForest,1.3,False,0.9605903108973471,0.008435116584213432,0.5567090392239662,0.019392958715727073,0.3434474765522156,0.052906500991200166
Skin and subcutaneous tissue disorders,SMOTE,Xgboost,1.3,False,0.9580318612921506,0.007582081513444913,0.5433123409547862,0.02419289227256793,0.3029587072273766,0.07137693739592506
Skin and subcutaneous tissue disorders,ADASYN,RandomForest,1.3,False,0.9609428236338813,0.008894765614019556,0.5617150025198796,0.02092178829575141,0.3576973016427957,0.05343428962837922
Skin and subcutaneous tissue disorders,ADASYN,Xgboost,1.3,False,0.9576146643525083,0.00783666749815167,0.5473120488378651,0.020795684024981376,0.32067280153211486,0.05738725389274481
Skin and subcutaneous tissue disorders,RandomOverSampler,RandomForest,1.3,False,0.9503006590449543,0.007296391883075803,0.5763024370033205,0.030251771651266655,0.4151192841500859,0.08057522126537463
Skin and subcutaneous tissue disorders,RandomOverSampler,Xgboost,1.3,False,0.9388672421484158,0.010656389083797534,0.5956465282187793,0.026123747873855505,0.4844049738620596,0.04420696644238098
Nervous system disorders,SMOTE,RandomForest,1.3,False,0.9513865082286135,0.007192563971541723,0.5449928786703461,0.030352830649564164,0.30830110991463183,0.09613658229120725
Nervous system disorders,SMOTE,Xgboost,1.3,False,0.9441653352317566,0.0057090831961512335,0.5196288267585033,0.025493658989066175,0.19492049310800436,0.16107635501342377
Nervous system disorders,ADASYN,RandomForest,1.3,False,0.9513344981753301,0.005641658576789665,0.5518758554329153,0.02346899790544168,0.34059830286079784,0.05824937613471299
Nervous system disorders,ADASYN,Xgboost,1.3,False,0.9472337692986261,0.004389788084533514,0.529223284282593,0.02411737067356424,0.24660084029141682,0.13403176864602262
Nervous system disorders,RandomOverSampler,RandomForest,1.3,False,0.9400338416429044,0.009110623884610397,0.5971777495770005,0.03862796832730663,0.4775099579602172,0.067879034964042
Nervous system disorders,RandomOverSampler,Xgboost,1.3,False,0.9303334090317156,0.008865037020002424,0.6140149448528148,0.04404506014819603,0.5235873911783537,0.0724200828045436
"Respiratory, thoracic and mediastinal disorders",SMOTE,RandomForest,1.3,False,0.8379107479080448,0.02409339409850744,0.5349002895983753,0.011669450807340644,0.3485749904832608,0.029638816006359127
"Respiratory, thoracic and mediastinal disorders",SMOTE,Xgboost,1.3,False,0.8232153013724284,0.016513745055945963,0.5644872770927359,0.01603822169380598,0.46230647915297557,0.042178517955254506
