Method_Over,Label,Under,Valid_GM,Valid_BAS,Valid_F1,Groups,BestFitness(innerGM)_mean,Best_keep_ratio_mean,MinorityMultiplier,APPLY_TOMEK,Model
SMOTE,Product issues,HHO,0.0,0.498932384341637,0.0,1427,0.0,0.46261804330214523,1.3,False,RandomForest
RandomOverSampler,Skin and subcutaneous tissue disorders,HHO,0.46842664166727827,0.5866131342524901,0.9365228401595107,1427,0.37522826651640095,0.8409324106615657,1.3,False,Xgboost
RandomOverSampler,Nervous system disorders,HHO,0.5338766095259644,0.6222897706357896,0.935575443101816,1427,0.4778300346324249,0.8657906221849171,1.3,False,Xgboost
RandomOverSampler,"Respiratory, thoracic and mediastinal disorders",HHO,0.5629827975089967,0.5895346516613895,0.7757717463513523,1427,0.5340511506248067,0.8822691058730513,1.3,False,Xgboost
RandomOverSampler,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",HHO,0.5127230901340707,0.5657392806161792,0.4156446932234372,1427,0.5947327006276035,0.4677891338678692,1.3,False,Xgboost
RandomOverSampler,Immune system disorders,HHO,0.5601911020019792,0.5860747411824042,0.7615241205603513,1427,0.5482883555569885,0.8408441151091663,1.3,False,Xgboost
ADASYN,Ear and labyrinth disorders,HHO,0.6208476048389489,0.6233096908089484,0.5924298072826606,1427,0.5910860739806484,0.8953754146133395,1.3,False,RandomForest
RandomOverSampler,Hepatobiliary disorders,HHO,0.6803958297253985,0.6818551529135687,0.6782438344484603,1427,0.661503491124591,0.891578957990714,1.3,False,RandomForest
SMOTE,Reproductive system and breast disorders,HHO,0.6748708794388905,0.6759501037140884,0.6835154384458356,1427,0.6421261201633841,0.890208227575501,1.3,False,RandomForest
