Label,Model,F1_mean,F1_std,BAS_mean,BAS_std,GM_mean,GM_std
Product issues,RandomForest,0.0,0.0,0.5,0.0,0.0,0.0
Product issues,XGBoost,0.0,0.0,0.4967969802761786,0.001743356946582642,0.0,0.0
Skin and subcutaneous tissue disorders,RandomForest,0.9606573230205864,0.008116817880506479,0.5495026413560895,0.022262704392736032,0.31597200205007603,0.07137241854285895
Skin and subcutaneous tissue disorders,XGBoost,0.9276928898549397,0.006490705777844306,0.6368378580452488,0.033037449677906755,0.5730859238807398,0.051136615459681664
Nervous system disorders,RandomForest,0.9509082287827383,0.004698630307566329,0.5561690919188937,0.026342851406378646,0.34818092230761405,0.08581797502040821
Nervous system disorders,XGBoost,0.9196033553908194,0.00855093649144602,0.6492576826045396,0.031708990459485845,0.597723366380758,0.04443934384177647
"Respiratory, thoracic and mediastinal disorders",RandomForest,0.827719906555652,0.018682395975616144,0.5451379820203744,0.01688976887162234,0.4028622297336247,0.05192914600820343
"Respiratory, thoracic and mediastinal disorders",XGBoost,0.7754732522441772,0.017771643285903253,0.6039791614851697,0.036699012060062035,0.58169970947328,0.05048071969680071
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",RandomForest,0.39165635021254386,0.051701534890530296,0.6148698505450902,0.023447491274128922,0.512776090688026,0.04318812717952155
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",XGBoost,0.4464858273048389,0.0379070779542945,0.6264030823337186,0.020718570679530673,0.5945339080075474,0.027527134902998174
Immune system disorders,RandomForest,0.8118592795960428,0.015425239980531783,0.5614711885082952,0.029530946078952153,0.45373890764823,0.04610670949943827
Immune system disorders,XGBoost,0.7555078386939996,0.013249623413241294,0.5963294220390771,0.01807171282076818,0.5784334573754284,0.022643842811791177
Ear and labyrinth disorders,RandomForest,0.5893899887775019,0.015610516774972442,0.6320773927446753,0.009548959411316069,0.6278461200256493,0.011318936572558481
Ear and labyrinth disorders,XGBoost,0.5779301602897299,0.023900024958006087,0.6135584091136055,0.015806815106904334,0.611264776015869,0.0172125866623372
Hepatobiliary disorders,RandomForest,0.7216671155773996,0.0107819524035096,0.6955131502880294,0.013547229121344671,0.6926752108197096,0.01522967042424281
Hepatobiliary disorders,XGBoost,0.6708309090297127,0.01153379171801008,0.660749772617151,0.01567058305080422,0.6606391344450837,0.015654009802249187
Reproductive system and breast disorders,RandomForest,0.6849890332110018,0.008667690734113127,0.6762866903985302,0.015553511211026154,0.6749994924392635,0.016436074392782732
Reproductive system and breast disorders,XGBoost,0.6731785249223089,0.018548266937706247,0.6670694292545676,0.023414041300091656,0.6654950805592336,0.023629564865136735
